,bidhigh,bidlow,bidclose,bidopen,tickqty,row_count,ema,ema_slow,ema_res1,ema_res2,ema_res3,rsi,sto_k,sto_d,MediaSell,MediaBuy,MediaTriggerSell,MediaTriggerBuy,value1,peaks_min,peaks_max,trend_min,trend_max,volumenPipsDiference,volumLimitOperation,volumEnableOperation,priceInPositionSell,priceInPositionBuy,sell,zone_sell,buy,zone_buy
0,1.43625,1.43594,1.43625,1.43596,142,0,1.43625,1.43625,1.43625,1.43625,1.43625,,,,0,0,,,1,,,NOT FINDED,NOT FINDED,,0.0006,0,0,0,0,,0,
1,1.43632,1.43619,1.43621,1.43624,177,1,1.4362299600000001,1.4362299600000001,1.4362299600000001,1.4362299600000001,1.4362299600000001,,,,0,0,0.0,0.0,1,,,NOT FINDED,NOT FINDED,,0.0006,0,0,0,0,0.0,0,0.0
2,1.43622,1.43611,1.43612,1.43621,82,2,1.4361931599557867,1.4361931599557867,1.4361931599557867,1.4361931599557867,1.4361931599557867,,,,0,0,0.0,0.0,1,,,NOT FINDED,NOT FINDED,,0.0006,0,0,0,0,0.0,0,0.0
3,1.43627,1.43612,1.43626,1.43612,113,3,1.4362099703603184,1.4362099703603184,1.4362099703603184,1.4362099703603184,1.4362099703603184,,,,0,0,0.0,0.0,1,,,NOT FINDED,NOT FINDED,,0.0006,0,0,0,0,0.0,0,0.0
4,1.43645,1.43627,1.43641,1.43627,133,4,1.4362502969744881,1.4362502969744881,1.4362502969744881,1.4362502969744881,1.4362502969744881,,,,0,0,0.0,0.0,1,,,NOT FINDED,NOT FINDED,,0.0006,0,0,0,0,0.0,0,0.0
5,1.43653,1.4364,1.43644,1.43643,119,5,1.436282231158545,1.436282231158545,1.436282231158545,1.436282231158545,1.436282231158545,,,,0,0,0.0,0.0,1,,,NOT FINDED,NOT FINDED,,0.0006,0,0,0,0,0.0,0,0.0
6,1.43646,1.43634,1.43639,1.43644,188,6,1.4362978120684904,1.4362978120684904,1.4362978120684904,1.4362978120684904,1.4362978120684904,,,,0,0,0.0,0.0,1,,,NOT FINDED,NOT FINDED,,0.0006,0,0,0,0,0.0,0,0.0
7,1.43643,1.43635,1.43639,1.4364,126,7,1.4363094975328212,1.4363094975328212,1.4363094975328212,1.4363094975328212,1.4363094975328212,,,,0,0,0.0,0.0,1,,,NOT FINDED,NOT FINDED,,0.0006,0,0,0,0,0.0,0,0.0
8,1.4364,1.4363,1.4363,1.4364,83,8,1.436308425288259,1.436308425288259,1.436308425288259,1.436308425288259,1.436308425288259,,,,0,0,0.0,0.0,1,,,NOT FINDED,NOT FINDED,,0.0006,0,0,0,0,0.0,0,0.0
9,1.43635,1.43629,1.4363,1.4363,71,9,1.4363075675131955,1.4363075675131955,1.4363075675131955,1.4363075675131955,1.4363075675131955,,0.5624999999997398,,0,0,0.0,0.0,1,,,NOT FINDED,NOT FINDED,,0.0006,0,0,0,0,0.0,0,0.0
