,bidhigh,bidlow,bidclose,bidopen,tickqty,row_count,ema,ema_slow,ema_res1,ema_res2,ema_res3,rsi,sto_k,sto_d,MediaSell,MediaBuy,MediaTriggerSell,MediaTriggerBuy,value1,peaks_min,peaks_max,trend_min,trend_max,volumenPipsDiference,volumLimitOperation,volumEnableOperation,priceInPositionSell,priceInPositionBuy,sell,zone_sell,buy,zone_buy
0,151.36,151.335,151.337,151.359,268,0,151.337,151.337,151.337,151.337,151.337,,,,0,0,,,1,,1.0,NOT FINDED,NOT FINDED,,0.0006,0,0,0,0,,0,
1,151.343,151.321,151.334,151.339,164,1,151.335497,151.335497,151.335497,151.335497,151.335497,,,,0,0,0.0,0.0,1,,,NOT FINDED,NOT FINDED,,0.0006,0,0,0,0,0.0,0,0.0
2,151.334,151.326,151.33,151.334,140,2,151.33365733245688,151.33365733245688,151.33365733245688,151.33365733245688,151.33365733245688,,,,0,0,0.0,0.0,1,,,NOT FINDED,NOT FINDED,,0.0006,0,0,0,0,0.0,0,0.0
3,151.347,151.324,151.325,151.328,164,3,151.331479996064,151.331479996064,151.331479996064,151.331479996064,151.331479996064,,,,0,0,0.0,0.0,1,,,NOT FINDED,NOT FINDED,,0.0006,0,0,0,0,0.0,0,0.0
4,151.334,151.325,151.327,151.325,182,4,151.33057681455028,151.33057681455028,151.33057681455028,151.33057681455028,151.33057681455028,,,,0,0,0.0,0.0,1,,,NOT FINDED,NOT FINDED,,0.0006,0,0,0,0,0.0,0,0.0
5,151.331,151.297,151.297,151.328,306,5,151.32492456850412,151.32492456850412,151.32492456850412,151.32492456850412,151.32492456850412,,,,0,0,0.0,0.0,1,,,NOT FINDED,NOT FINDED,,0.0006,0,0,0,0,0.0,0,0.0
6,151.303,151.288,151.298,151.297,336,6,151.32103189162717,151.32103189162717,151.32103189162717,151.32103189162717,151.32103189162717,,,,0,0,0.0,0.0,1,,,NOT FINDED,NOT FINDED,,0.0006,0,0,0,0,0.0,0,0.0
7,151.305,151.297,151.299,151.297,345,7,151.3182391954517,151.3182391954517,151.3182391954517,151.3182391954517,151.3182391954517,,,,0,0,0.0,0.0,1,,,NOT FINDED,NOT FINDED,,0.0006,0,0,0,0,0.0,0,0.0
8,151.312,151.298,151.305,151.299,161,8,151.31674452777352,151.31674452777352,151.31674452777352,151.31674452777352,151.31674452777352,,,,0,0,0.0,0.0,1,,,NOT FINDED,NOT FINDED,,0.0006,0,0,0,0,0.0,0,0.0
9,151.308,151.287,151.294,151.306,205,9,151.3144289169422,151.3144289169422,151.3144289169422,151.3144289169422,151.3144289169422,,0.0,,0,0,0.0,0.0,1,,,NOT FINDED,NOT FINDED,,0.0006,0,0,0,0,0.0,0,0.0
10,151.319,151.294,151.307,151.294,215,10,151.31373997285723,151.31373997285723,151.31373997285723,151.31373997285723,151.31373997285723,,0.1787499999997167,,0,0,0.0,0.0,1,,,NOT FINDED,NOT FINDED,,0.0006,0,0,0,0,0.0,0,0.0
11,151.32,151.297,151.313,151.31,250,11,151.31367694280993,151.31367694280993,151.31367694280993,151.31367694280993,151.31367694280993,,0.31905684754478575,0.28425925925886825,0,0,0.0,0.0,1,,,NOT FINDED,NOT FINDED,,0.0006,0,0,0,0,0.0,0,0.0
12,151.318,151.288,151.296,151.313,198,12,151.3122843047949,151.3122843047949,151.3122843047949,151.3122843047949,151.3122843047949,,0.2339088283823668,0.2953703703698789,0,0,0.0,0.0,1,,,NOT FINDED,NOT FINDED,,0.0006,0,0,0,0,0.0,0,0.0
13,151.312,151.293,151.31,151.296,298,13,151.31211686401804,151.31211686401804,151.31211686401804,151.31211686401804,151.31211686401804,,0.3059467788209717,0.3204441983507091,0,0,0.0,0.0,1,,,NOT FINDED,NOT FINDED,,0.0006,0,0,0,0,0.0,0,0.0
14,151.319,151.293,151.317,151.31,290,14,151.3124516004389,151.3124516004389,151.3124516004389,151.3124516004389,151.3124516004389,,0.4862163742215841,0.38459158415803457,0,0,0.0,0.0,1,,,NOT FINDED,NOT FINDED,,0.0006,0,0,0,0,0.0,0,0.0
15,151.34,151.317,151.318,151.317,219,15,151.31280887555593,151.31280887555593,151.31280887555593,151.31280887555593,151.31280887555593,42.14876033058861,0.6100175888495709,0.5119632730510116,0,0,0.0,0.0,1,,,NOT FINDED,NOT FINDED,,0.0006,0,0,0,0,0.0,0,0.0
16,151.326,151.296,151.3,151.318,288,16,151.31203106085832,151.31203106085832,151.31203106085832,151.31203106085832,151.31203106085832,36.35437881874617,0.5281118523633893,0.5737896332610904,0,0,0.0,0.0,1,,,NOT FINDED,NOT FINDED,,0.0006,0,0,0,0,0.0,0,0.0
17,151.309,151.29,151.292,151.301,172,17,151.3108799849533,151.3108799849533,151.3108799849533,151.3108799849533,151.3108799849533,34.12069907155154,0.4132131941763268,0.5359293100931982,0,0,0.0,0.0,1,,,NOT FINDED,NOT FINDED,,0.0006,0,0,0,0,0.0,0,0.0
18,151.302,151.283,151.298,151.291,187,18,151.3101774108286,151.3101774108286,151.3101774108286,151.3101774108286,151.3101774108286,37.220314409592845,0.374889714897295,0.45046191491020704,0,0,0.0,0.0,1,,,NOT FINDED,NOT FINDED,,0.0006,0,0,0,0,0.0,0,0.0
19,151.308,151.296,151.3,151.299,130,19,151.30964897165333,151.30964897165333,151.30964897165333,151.30964897165333,151.30964897165333,38.25780191377657,0.36116212470343856,0.3915072950444324,0,0,0.0,0.0,1,,,NOT FINDED,NOT FINDED,,0.0006,0,0,0,0,0.0,0,0.0
20,151.31,151.289,151.291,151.298,150,20,151.30872495454858,151.30872495454858,151.30872495454858,151.30872495454858,151.30872495454858,35.434449049121156,0.2890025931877344,0.346971162669584,0,0,0.0,0.0,1,,,NOT FINDED,NOT FINDED,,0.0006,0,0,0,0,0.0,0,0.0
21,151.296,151.286,151.288,151.291,112,21,151.30774281892386,151.30774281892386,151.30774281892386,151.30774281892386,151.30774281892386,34.52450523305218,0.23228027067909898,0.2970418558528813,0,0,0.0,0.0,1,,,NOT FINDED,NOT FINDED,,0.0006,0,0,0,0,0.0,0,0.0
22,151.288,151.272,151.282,151.288,95,22,151.3065736308217,151.3065736308217,151.3065736308217,151.3065736308217,151.3065736308217,32.72378736332692,0.18734022759813979,0.23769343670040322,0,0,0.0,0.0,1,,,NOT FINDED,NOT FINDED,,0.0006,0,0,0,0,0.0,0,0.0
23,151.289,151.277,151.281,151.281,193,23,151.30545832940115,151.30545832940115,151.30545832940115,151.30545832940115,151.30545832940115,32.42181478688222,0.15151246414837888,0.19104152390615356,0,0,0.0,0.0,1,,,NOT FINDED,NOT FINDED,,0.0006,0,0,0,0,0.0,0,0.0
24,151.289,151.27,151.274,151.281,276,24,151.30413867212098,151.30413867212098,151.30413867212098,151.30413867212098,151.30413867212098,30.323166069455937,0.1228071404098914,0.1540800794860392,0,0,0.0,0.0,1,,,NOT FINDED,NOT FINDED,,0.0006,0,0,0,0,0.0,0,0.0
25,151.283,151.252,151.254,151.274,276,25,151.3021123017927,151.3021123017927,151.3021123017927,151.3021123017927,151.3021123017927,25.308288014012106,0.09971670238839193,0.12461313204542988,0,0,0.0,0.0,1,,,NOT FINDED,NOT FINDED,,0.0006,0,0,0,0,0.0,0,0.0
26,151.266,151.248,151.262,151.254,157,26,151.30054812295637,151.30054812295637,151.30054812295637,151.30054812295637,151.30054812295637,30.25186866639669,0.11358123080652978,0.11198721661517717,0,0,0.0,0.0,1,,,NOT FINDED,NOT FINDED,,0.0006,0,0,0,0,0.0,0,0.0
27,151.268,151.258,151.264,151.261,172,27,151.29917112815497,151.29917112815497,151.29917112815497,151.29917112815497,151.29917112815497,31.46685970401093,0.13288209762514347,0.11545576394721868,0,0,0.0,0.0,1,,,NOT FINDED,NOT FINDED,,0.0006,0,0,0,0,0.0,0,0.0
28,151.273,151.254,151.268,151.264,182,28,151.29803498810878,151.29803498810878,151.29803498810878,151.29803498810878,151.29803498810878,33.933002867857425,0.16463144598394808,0.1372118689984447,0,0,0.0,0.0,1,,,NOT FINDED,NOT FINDED,,0.0006,0,0,0,0,0.0,0,0.0
29,151.27,151.255,151.26,151.267,130,29,151.29669225132307,151.29669225132307,151.29669225132307,151.29669225132307,151.29669225132307,31.50374792495964,0.16417574739792082,0.15408551641306942,0,0,0.0,0.0,1,,,NOT FINDED,NOT FINDED,,0.0006,0,0,0,0,0.0,0,0.0
30,151.277,151.257,151.275,151.26,169,30,151.29594970641597,151.29594970641597,151.29594970641597,151.29594970641597,151.29594970641597,40.116162372645164,0.24763472287417884,0.1924701268098544,0,0,0.0,0.0,1,,,NOT FINDED,NOT FINDED,,0.0006,0,0,0,0,0.0,0,0.0
31,151.274,151.238,151.248,151.274,194,31,151.29435652174644,151.29435652174644,151.29435652174644,151.29435652174644,151.29435652174644,32.286909549197176,0.20216012174951078,0.20492081725438518,0,0,0.0,0.0,1,,,NOT FINDED,NOT FINDED,,0.0006,0,0,0,0,0.0,0,0.0
32,151.269,151.247,151.26,151.25,189,32,151.29324741034415,151.29324741034415,151.29324741034415,151.29324741034415,151.29324741034415,38.04475157337075,0.23175914125648658,0.2274062269772445,0,0,0.0,0.0,1,,,NOT FINDED,NOT FINDED,,0.0006,0,0,0,0,0.0,0,0.0
33,151.268,151.253,151.268,151.261,303,33,151.2924547866703,151.2924547866703,151.2924547866703,151.2924547866703,151.2924547866703,41.592306514850364,0.3249185159921313,0.2532473606367625,0,0,0.0,0.0,1,,,NOT FINDED,NOT FINDED,,0.0006,0,0,0,0,0.0,0,0.0
34,151.273,151.247,151.249,151.267,242,34,151.29112694187793,151.29112694187793,151.29112694187793,151.29112694187793,151.29112694187793,36.30276990008955,0.2722911252978977,0.27656785782471816,0,0,0.0,0.0,1,,,NOT FINDED,NOT FINDED,,0.0006,0,0,0,0,0.0,0,0.0
35,151.265,151.239,151.261,151.249,224,35,151.29023017754645,151.29023017754645,151.29023017754645,151.29023017754645,151.29023017754645,41.35011132450587,0.3104951906876911,0.3027751831598823,0,0,0.0,0.0,1,,,NOT FINDED,NOT FINDED,,0.0006,0,0,0,0,0.0,0,0.0
36,151.278,151.254,151.273,151.261,158,36,151.28973018760487,151.28973018760487,151.28973018760487,151.28973018760487,151.28973018760487,45.93979785418431,0.4227992470364061,0.335444343452612,0,0,0.0,0.0,1,,,NOT FINDED,NOT FINDED,,0.0006,0,0,0,0,0.0,0,0.0
37,151.29,151.264,151.289,151.273,177,37,151.28970951615293,151.28970951615293,151.28970951615293,151.28970951615293,151.28970951615293,51.37569464849903,0.5280573748410663,0.42073625667031356,0,0,0.0,0.0,1,,,NOT FINDED,NOT FINDED,,0.0006,0,0,0,0,0.0,0,0.0
38,151.31,151.286,151.299,151.29,219,38,151.28996628371237,151.28996628371237,151.28996628371237,151.28996628371237,151.28996628371237,54.44323083664508,0.614074091813777,0.5219348560295808,0,0,0.0,0.0,1,,,NOT FINDED,NOT FINDED,,0.0006,0,0,0,0,0.0,0,0.0
39,151.309,151.298,151.303,151.3,252,39,151.29031818465185,151.29031818465185,151.29031818465185,151.29031818465185,151.29031818465185,55.64252660222278,0.6843821881373551,0.6091146487873451,0,0,0.0,0.0,1,,1.0,NOT FINDED,NOT FINDED,,0.0006,0,0,0,0,0.0,0,0.0
40,151.303,151.262,151.262,151.303,177,40,151.2895708091546,151.2895708091546,151.2895708091546,151.2895708091546,151.2895708091546,43.163579912710446,0.6061027507503406,0.6350687014347167,0,0,0.0,0.0,1,,,NOT FINDED,NOT FINDED,,0.0006,0,0,0,0,0.0,0,0.0
41,151.272,151.26,151.265,151.263,183,41,151.28893654226422,151.28893654226422,151.28893654226422,151.28893654226422,151.28893654226422,44.14561939516082,0.549699254567269,0.6135493004578361,0,0,0.0,0.0,1,,,NOT FINDED,NOT FINDED,,0.0006,0,0,0,0,0.0,0,0.0
42,151.269,151.257,151.266,151.265,136,42,151.28835710642073,151.28835710642073,151.28835710642073,151.28835710642073,151.28835710642073,44.4881739256183,0.506946449336585,0.5543626626388717,0,0,0.0,0.0,1,,,NOT FINDED,NOT FINDED,,0.0006,0,0,0,0,0.0,0,0.0
43,151.269,151.252,151.26,151.267,220,43,151.28765565352072,151.28765565352072,151.28765565352072,151.28765565352072,151.28765565352072,42.80069719531895,0.4517622507071794,0.5028836698748701,0,0,0.0,0.0,1,,,NOT FINDED,NOT FINDED,,0.0006,0,0,0,0,0.0,0,0.0
44,151.271,151.248,151.249,151.26,266,44,151.286718884284,151.286718884284,151.286718884284,151.286718884284,151.286718884284,39.83286453191141,0.3695637554324265,0.4428102403060785,0,0,0.0,0.0,1,,,NOT FINDED,NOT FINDED,,0.0006,0,0,0,0,0.0,0,0.0
45,151.265,151.232,151.232,151.249,311,45,151.28541915239873,151.28541915239873,151.28541915239873,151.28541915239873,151.28541915239873,35.73039093729973,0.3023302559853273,0.3745841958629538,0,0,0.0,0.0,1,,,NOT FINDED,NOT FINDED,,0.0006,0,0,0,0,0.0,0,0.0
46,151.24,151.231,151.235,151.232,253,46,151.28424475864364,151.28424475864364,151.28424475864364,151.28424475864364,151.28424475864364,36.958026919100924,0.25502049648127667,0.3089909951878497,0,0,0.0,0.0,1,,,NOT FINDED,NOT FINDED,,0.0006,0,0,0,0,0.0,0,0.0
47,151.236,151.202,151.206,151.235,277,47,151.2824567435943,151.2824567435943,151.2824567435943,151.2824567435943,151.2824567435943,30.854012292603173,0.20863461826239274,0.2553396429753524,0,0,0.0,0.0,1,,,NOT FINDED,NOT FINDED,,0.0006,0,0,0,0,0.0,0,0.0
48,151.225,151.206,151.218,151.206,228,48,151.28101107097376,151.28101107097376,151.28101107097376,151.28101107097376,151.28101107097376,35.571707520686644,0.19318897797563317,0.21895497924305268,0,0,0.0,0.0,1,,,NOT FINDED,NOT FINDED,,0.0006,0,0,0,0,0.0,0,0.0
49,151.247,151.218,151.24,151.218,264,49,151.28010790258867,151.28010790258867,151.28010790258867,151.28010790258867,151.28010790258867,43.18589744805845,0.26111216162284295,0.2209868853911257,0,0,0.0,0.0,1,,,NOT FINDED,NOT FINDED,,0.0006,0,0,0,0,0.0,0,0.0
