,bidhigh,bidlow,bidclose,bidopen,tickqty,row_count,ema,ema_slow,ema_res1,ema_res2,ema_res3,rsi,sto_k,sto_d,MediaSell,MediaBuy,MediaTriggerSell,MediaTriggerBuy,value1,peaks_min,peaks_max,trend_min,trend_max,volumenPipsDiference,volumLimitOperation,volumEnableOperation,priceInPositionSell,priceInPositionBuy,sell,zone_sell,buy,zone_buy
0,1.09475,1.09469,1.0947,1.0947,95,0,1.0947,1.0947,1.0947,1.0947,1.0947,,,,0,0,,,1,,,NOT FINDED,NOT FINDED,,0.0006,0,0,0,0,,0,
1,1.09486,1.0947,1.09481,1.0947,136,1,1.09475506875,1.09475506875,1.09475506875,1.09475506875,1.09475506875,,,,0,0,0.0,0.0,1,,,NOT FINDED,NOT FINDED,,0.0006,0,0,0,0,0.0,0,0.0
2,1.09487,1.0948,1.09486,1.09481,114,2,1.0947901333124304,1.0947901333124304,1.0947901333124304,1.0947901333124304,1.0947901333124304,,,,0,0,0.0,0.0,1,,,NOT FINDED,NOT FINDED,,0.0006,0,0,0,0,0.0,0,0.0
3,1.09486,1.09481,1.09481,1.09485,42,3,1.094795118624844,1.094795118624844,1.094795118624844,1.094795118624844,1.094795118624844,,,,0,0,0.0,0.0,1,,,NOT FINDED,NOT FINDED,,0.0006,0,0,0,0,0.0,0,0.0
4,1.09488,1.09481,1.09481,1.09481,94,4,1.0947981097998287,1.0947981097998287,1.0947981097998287,1.0947981097998287,1.0947981097998287,,,,0,0,0.0,0.0,1,,,NOT FINDED,NOT FINDED,,0.0006,0,0,0,0,0.0,0,0.0
5,1.09488,1.09481,1.09487,1.09482,91,5,1.0948101665101353,1.0948101665101353,1.0948101665101353,1.0948101665101353,1.0948101665101353,,,,0,0,0.0,0.0,1,,,NOT FINDED,NOT FINDED,,0.0006,0,0,0,0,0.0,0,0.0
6,1.09499,1.09487,1.09496,1.09487,90,6,1.0948317321643133,1.0948317321643133,1.0948317321643133,1.0948317321643133,1.0948317321643133,,,,0,0,0.0,0.0,1,,1.0,NOT FINDED,NOT FINDED,,0.0006,0,0,0,0,0.0,0,0.0
7,1.09497,1.09489,1.0949,1.09496,38,7,1.0948403404981544,1.0948403404981544,1.0948403404981544,1.0948403404981544,1.0948403404981544,,,,0,0,0.0,0.0,1,,,NOT FINDED,NOT FINDED,,0.0006,0,0,0,0,0.0,0,0.0
8,1.09493,1.09489,1.09492,1.0949,93,8,1.0948492803223029,1.0948492803223029,1.0948492803223029,1.0948492803223029,1.0948492803223029,,,,0,0,0.0,0.0,1,,,NOT FINDED,NOT FINDED,,0.0006,0,0,0,0,0.0,0,0.0
9,1.09499,1.09492,1.09493,1.09492,57,9,1.0948574434020266,1.0948574434020266,1.0948574434020266,1.0948574434020266,1.0948574434020266,,0.8846153846154503,,0,0,0.0,0.0,1,,,NOT FINDED,NOT FINDED,,0.0006,0,0,0,0,0.0,0,0.0
