date,bidopen,bidclose,bidhigh,bidlow,askopen,askclose,askhigh,asklow,tickqty,ema,ema_slow,ema_res1,ema_res2,ema_res3,tickqtySMAFast,tickqtySMA,RSI,RSI_uppval,RSI_subval,zone_upp_rsi,zone_sub_rsi,sell,zone_sell,buy,zone_buy
2022-11-30 09:19:00,1.03774,1.03772,1.03787,1.03768,1.03777,1.03773,1.03789,1.0377,203,,,,,,,,,False,False,,,False,,False,
2022-11-30 09:20:00,1.03771,1.03746,1.03775,1.03741,1.03773,1.03748,1.03776,1.03745,265,,,,,,,,,False,False,False,False,False,False,False,False
2022-11-30 09:21:00,1.03746,1.03737,1.03748,1.03733,1.03749,1.0374,1.0375,1.03735,125,1.0375166666666666,,,,,,,,False,False,False,False,False,False,False,False
2022-11-30 09:22:00,1.03737,1.03717,1.03742,1.03716,1.03739,1.03719,1.03745,1.03717,174,1.0373333333333334,,,,,,,,False,False,False,False,False,False,False,False
2022-11-30 09:23:00,1.03717,1.03731,1.03738,1.03717,1.03718,1.03732,1.0374,1.03718,181,1.0372833333333331,,,,,,,,False,False,False,False,False,False,False,False
2022-11-30 09:24:00,1.0373,1.03725,1.03741,1.03722,1.03732,1.03728,1.03742,1.03723,193,1.0372433333333333,,,,,,,,False,False,False,False,False,False,False,False
2022-11-30 09:25:00,1.03725,1.03737,1.03737,1.03717,1.03727,1.03738,1.03739,1.03719,179,1.03731,,,,,,,,False,False,False,False,False,False,False,False
2022-11-30 09:26:00,1.03737,1.03741,1.03745,1.03737,1.03738,1.03743,1.03747,1.03738,200,1.0373433333333333,,,,,,,,False,False,False,False,False,False,False,False
2022-11-30 09:27:00,1.03742,1.03742,1.0375,1.03739,1.03743,1.03746,1.03752,1.03741,154,1.0373999999999999,,,,,,,,False,False,False,False,False,False,False,False
2022-11-30 09:28:00,1.03742,1.03729,1.03743,1.03722,1.03745,1.0373,1.03747,1.03725,169,1.0373733333333333,,,,,184.3,,,False,False,False,False,False,False,False,False
2022-11-30 09:29:00,1.03728,1.03722,1.03733,1.03716,1.03729,1.03724,1.03735,1.03718,215,1.03731,,,,,185.5,,,False,False,False,False,False,False,False,False
2022-11-30 09:30:00,1.03723,1.03728,1.03728,1.0371,1.03724,1.03729,1.03732,1.03712,173,1.0372633333333334,,,,,176.3,,,False,False,False,False,False,False,False,False
2022-11-30 09:31:00,1.03727,1.03711,1.03727,1.03711,1.03729,1.03714,1.03729,1.03714,164,1.0372033333333333,,,,,180.2,,,False,False,False,False,False,False,False,False
2022-11-30 09:32:00,1.03711,1.03716,1.03722,1.0371,1.03713,1.03718,1.03724,1.03711,173,1.0371833333333333,,,,,180.1,,,False,False,False,False,False,False,False,False
2022-11-30 09:33:00,1.03714,1.03676,1.03714,1.03676,1.03716,1.03678,1.03716,1.03678,165,1.0370100000000002,,,,,178.5,,,False,False,False,False,False,False,False,False
2022-11-30 09:34:00,1.03681,1.03691,1.03708,1.03675,1.03683,1.03692,1.03709,1.03677,180,1.0369433333333333,,,,,177.2,,29.230769230773433,False,True,False,True,False,False,False,False
2022-11-30 09:35:00,1.0369,1.03686,1.03697,1.0368,1.03692,1.03689,1.03698,1.03682,226,1.0368433333333333,,,,,181.9,,28.449197860965185,False,True,False,False,False,False,False,False
2022-11-30 09:36:00,1.03686,1.03681,1.03698,1.03681,1.03688,1.03683,1.03699,1.03683,223,1.03686,,,,,184.2,,27.6568882287457,False,True,False,False,False,False,False,False
2022-11-30 09:37:00,1.03682,1.03667,1.03684,1.03662,1.03683,1.03668,1.03685,1.03664,184,1.03678,,,,,187.2,,25.524331734068483,False,True,False,False,False,False,False,False
2022-11-30 09:38:00,1.03667,1.0367,1.03682,1.03667,1.03669,1.03674,1.03684,1.03668,184,1.0367266666666666,,,,,188.7,,26.819860047111817,False,True,False,False,False,False,False,False
2022-11-30 09:39:00,1.03669,1.03653,1.03669,1.03651,1.03671,1.03657,1.03673,1.03653,173,1.0366333333333333,,,,,184.5,,24.257877384729085,False,True,False,False,False,False,False,False
2022-11-30 09:40:00,1.03653,1.03661,1.03664,1.03651,1.03656,1.03663,1.03665,1.03652,165,1.0366133333333332,,,,,183.7,,27.738301227744245,False,True,False,False,False,False,False,False
2022-11-30 09:41:00,1.03657,1.03647,1.03676,1.03646,1.03659,1.03648,1.03677,1.03648,198,1.0365366666666667,,,,,187.1,,25.53799684189758,False,True,False,False,False,False,False,False
2022-11-30 09:42:00,1.03645,1.03632,1.03645,1.03622,1.03647,1.03634,1.03647,1.03624,214,1.0364666666666666,,,,,191.2,,23.40658485668206,False,True,False,False,False,False,False,False
2022-11-30 09:43:00,1.03632,1.03633,1.03645,1.03619,1.03635,1.03635,1.03647,1.0362,248,1.0363733333333334,,,,,199.5,,23.860487415726126,False,True,False,False,False,False,False,False
2022-11-30 09:44:00,1.03641,1.0365,1.03663,1.03638,1.03643,1.03651,1.03664,1.03641,195,1.0363833333333332,,,,,201.0,,31.278321268626883,False,True,False,False,False,False,False,False
2022-11-30 09:45:00,1.0365,1.03616,1.0365,1.03608,1.03652,1.03618,1.03654,1.0361,220,1.0363299999999998,,,,,200.4,,25.8762370620925,False,True,False,False,False,False,False,False
2022-11-30 09:46:00,1.03618,1.03606,1.03631,1.03593,1.03621,1.03607,1.03634,1.03594,210,1.03624,,,,,199.1,,24.540603106502658,False,True,False,False,False,False,False,False
