,bidhigh,bidlow,bidclose,bidopen,tickqty,row_count,ema,ema_slow,ema_res1,ema_res2,ema_res3,rsi,sto_k,sto_d,MediaSell,MediaBuy,MediaTriggerSell,MediaTriggerBuy,value1,peaks_min,peaks_max,trend_min,trend_max,volumenPipsDiference,volumLimitOperation,volumEnableOperation,priceInPositionSell,priceInPositionBuy,sell,zone_sell,buy,zone_buy
0,177.122,177.095,177.1,177.121,276,0,177.1,177.1,177.1,177.1,177.1,,,,0,0,,,1,,1.0,NOT FINDED,NOT FINDED,,0.0006,0,0,0,0,,0,
1,177.103,177.07,177.076,177.1,259,1,177.08797600000003,177.08797600000003,177.08797600000003,177.08797600000003,177.08797600000003,,,,0,0,0.0,0.0,1,,,NOT FINDED,NOT FINDED,,0.0006,0,0,0,0,0.0,0,0.0
2,177.078,177.058,177.065,177.076,192,2,177.08028667828444,177.08028667828444,177.08028667828444,177.08028667828444,177.08028667828444,,,,0,0,0.0,0.0,1,,,NOT FINDED,NOT FINDED,,0.0006,0,0,0,0,0.0,0,0.0
3,177.082,177.043,177.047,177.064,315,3,177.07191501225597,177.07191501225597,177.07191501225597,177.07191501225597,177.07191501225597,,,,0,0,0.0,0.0,1,,,NOT FINDED,NOT FINDED,,0.0006,0,0,0,0,0.0,0,0.0
4,177.053,177.018,177.022,177.046,372,4,177.06185198637772,177.06185198637772,177.06185198637772,177.06185198637772,177.06185198637772,,,,0,0,0.0,0.0,1,,,NOT FINDED,NOT FINDED,,0.0006,0,0,0,0,0.0,0,0.0
5,177.022,176.974,176.976,177.021,450,5,177.04739985454037,177.04739985454037,177.04739985454037,177.04739985454037,177.04739985454037,,,,0,0,0.0,0.0,1,,,NOT FINDED,NOT FINDED,,0.0006,0,0,0,0,0.0,0,0.0
6,176.982,176.956,176.981,176.972,441,6,177.0377999540494,177.0377999540494,177.0377999540494,177.0377999540494,177.0377999540494,,,,0,0,0.0,0.0,1,,,NOT FINDED,NOT FINDED,,0.0006,0,0,0,0,0.0,0,0.0
7,176.996,176.955,176.956,176.981,343,7,177.02743123843058,177.02743123843058,177.02743123843058,177.02743123843058,177.02743123843058,,,,0,0,0.0,0.0,1,1.0,,NOT FINDED,NOT FINDED,,0.0006,0,0,0,0,0.0,0,0.0
8,177.012,176.952,177.012,176.955,236,8,177.02568909530711,177.02568909530711,177.02568909530711,177.02568909530711,177.02568909530711,,,,0,0,0.0,0.0,1,,,NOT FINDED,NOT FINDED,,0.0006,0,0,0,0,0.0,0,0.0
9,177.016,176.95,176.956,177.013,273,9,177.0185940777484,177.0185940777484,177.0185940777484,177.0185940777484,177.0185940777484,,0.0,,0,0,0.0,0.0,1,1.0,,UPWARD-TREND,NOT FINDED,,0.0006,0,0,0,0,0.0,0,0.0
10,177.0,176.95,176.998,176.955,338,10,177.01668422087954,177.01668422087954,177.01668422087954,177.01668422087954,177.01668422087954,,0.1925,,0,0,0.0,0.0,1,,,UPWARD-TREND,NOT FINDED,,0.0006,0,0,0,0,0.0,0,0.0
11,177.013,176.989,177.006,176.998,178,11,177.01577415108332,177.01577415108332,177.01577415108332,177.01577415108332,177.01577415108332,,0.29951690085040333,0.2695718654434474,0,0,0.0,0.0,1,,,UPWARD-TREND,NOT FINDED,,0.0006,0,0,0,0,0.0,0,0.0
12,177.011,176.985,176.998,177.006,199,12,177.014373854734,177.014373854734,177.014373854734,177.014373854734,177.014373854734,,0.3528957863147037,0.3541872500588276,0,0,0.0,0.0,1,,,UPWARD-TREND,NOT FINDED,,0.0006,0,0,0,0,0.0,0,0.0
13,177.036,176.993,177.028,176.998,324,13,177.01537265855134,177.01537265855134,177.01537265855134,177.01537265855134,177.01537265855134,,0.5386618064430625,0.4691161196388586,0,0,0.0,0.0,1,,,UPWARD-TREND,NOT FINDED,,0.0006,0,0,0,0,0.0,0,0.0
14,177.043,177.012,177.042,177.028,313,14,177.01719794889883,177.01719794889883,177.01719794889883,177.01719794889883,177.01719794889883,,0.6584872707699637,0.5848856762881736,0,0,0.0,0.0,1,,,UPWARD-TREND,NOT FINDED,,0.0006,0,0,0,0,0.0,0,0.0
15,177.065,177.037,177.037,177.042,247,15,177.01847305175443,177.01847305175443,177.01847305175443,177.01847305175443,177.01847305175443,41.55495978552545,0.7267688272324583,0.6984902821466397,0,0,0.0,0.0,1,,,UPWARD-TREND,NOT FINDED,,0.0006,0,0,0,0,0.0,0,0.0
16,177.065,177.035,177.05,177.037,286,16,177.0203875151755,177.0203875151755,177.0203875151755,177.0203875151755,177.0203875151755,43.65885176297155,0.7889302358125804,0.7717691554156009,0,0,0.0,0.0,1,,,UPWARD-TREND,NOT FINDED,,0.0006,0,0,0,0,0.0,0,0.0
17,177.069,177.047,177.053,177.051,153,17,177.0222615769514,177.0222615769514,177.0222615769514,177.0222615769514,177.0222615769514,44.155895076654346,0.8348516302680619,0.8220938565783623,0,0,0.0,0.0,1,,,UPWARD-TREND,NOT FINDED,,0.0006,0,0,0,0,0.0,0,0.0
18,177.071,177.042,177.052,177.053,236,18,177.02388374084515,177.02388374084515,177.02388374084515,177.02388374084515,177.02388374084515,44.0172089521543,0.8673765359942913,0.86178655808233,0,0,0.0,0.0,1,,,UPWARD-TREND,NOT FINDED,,0.0006,0,0,0,0,0.0,0,0.0
19,177.074,177.051,177.066,177.052,152,19,177.02607053291126,177.02607053291126,177.02607053291126,177.02607053291126,177.02607053291126,46.536027060512616,0.8944698516398353,0.8911093202977,0,0,0.0,0.0,1,,,UPWARD-TREND,NOT FINDED,,0.0006,0,0,0,0,0.0,0,0.0
20,177.07,177.046,177.052,177.066,255,20,177.02735528316734,177.02735528316734,177.02735528316734,177.02735528316734,177.02735528316734,44.395858677393576,0.8744196648294438,0.8988450172217823,0,0,0.0,0.0,1,,,UPWARD-TREND,NOT FINDED,,0.0006,0,0,0,0,0.0,0,0.0
21,177.074,177.051,177.062,177.052,182,21,177.0289970629131,177.0289970629131,177.0289970629131,177.0289970629131,177.0289970629131,46.28636599994863,0.8875219730964327,0.9014843480939443,0,0,0.0,0.0,1,,,UPWARD-TREND,NOT FINDED,,0.0006,0,0,0,0,0.0,0,0.0
22,177.063,177.032,177.041,177.062,164,22,177.0295422126605,177.0295422126605,177.0295422126605,177.0295422126605,177.0295422126605,42.99714282838369,0.7819983727921529,0.8597229566515769,0,0,0.0,0.0,1,,,UPWARD-TREND,NOT FINDED,,0.0006,0,0,0,0,0.0,0,0.0
23,177.044,177.019,177.025,177.042,193,23,177.02934412048234,177.02934412048234,177.02934412048234,177.02934412048234,177.02934412048234,40.639630780295064,0.6324455881195811,0.7749420241069606,0,0,0.0,0.0,1,,,UPWARD-TREND,NOT FINDED,,0.0006,0,0,0,0,0.0,0,0.0
24,177.032,177.011,177.011,177.025,277,24,177.02857459607964,177.02857459607964,177.02857459607964,177.02857459607964,177.02857459607964,38.65277528606522,0.5126233975427608,0.647074142315146,0,0,0.0,0.0,1,,,UPWARD-TREND,NOT FINDED,,0.0006,0,0,0,0,0.0,0,0.0
25,177.027,176.992,176.996,177.011,302,25,177.02725808345258,177.02725808345258,177.02725808345258,177.02725808345258,177.02725808345258,36.598734586939194,0.4162389466889714,0.5233248568437208,0,0,0.0,0.0,1,,,UPWARD-TREND,NOT FINDED,,0.0006,0,0,0,0,0.0,0,0.0
26,177.011,176.993,177.003,176.996,187,26,177.02631213971333,177.02631213971333,177.02631213971333,177.02631213971333,177.02631213971333,38.23973068392107,0.3571456841522495,0.4304917992431987,0,0,0.0,0.0,1,,,UPWARD-TREND,NOT FINDED,,0.0006,0,0,0,0,0.0,0,0.0
27,177.018,176.997,176.998,177.003,179,27,177.02524544555646,177.02524544555646,177.02524544555646,177.02524544555646,177.02524544555646,37.496983285943855,0.2960555824825573,0.35760797523754595,0,0,0.0,0.0,1,,,UPWARD-TREND,NOT FINDED,,0.0006,0,0,0,0,0.0,0,0.0
28,177.019,176.99,177.015,176.997,192,28,177.0248720147031,177.0248720147031,177.0248720147031,177.0248720147031,177.0248720147031,41.627254538729474,0.291495536810384,0.3156994107386461,0,0,0.0,0.0,1,,,UPWARD-TREND,NOT FINDED,,0.0006,0,0,0,0,0.0,0,0.0
29,177.024,177.003,177.019,177.014,240,29,177.02466471688234,177.02466471688234,177.02466471688234,177.02466471688234,177.02466471688234,42.583758230886346,0.3020127355703412,0.29719286651792864,0,0,0.0,0.0,1,,,UPWARD-TREND,NOT FINDED,,0.0006,0,0,0,0,0.0,0,0.0
30,177.032,177.013,177.022,177.019,223,30,177.02457350127173,177.02457350127173,177.02457350127173,177.02457350127173,177.02457350127173,43.329957053092585,0.3189313465896196,0.3047398102714161,0,0,0.0,0.0,1,,,UPWARD-TREND,NOT FINDED,,0.0006,0,0,0,0,0.0,0,0.0
31,177.022,176.982,176.989,177.022,273,31,177.02339153038798,177.02339153038798,177.02339153038798,177.02339153038798,177.02339153038798,37.57462528147443,0.2603641327353443,0.2941717225065331,0,0,0.0,0.0,1,,,UPWARD-TREND,NOT FINDED,,0.0006,0,0,0,0,0.0,0,0.0
32,177.039,176.986,177.028,176.988,319,32,177.02354030290437,177.02354030290437,177.02354030290437,177.02354030290437,177.02354030290437,46.56223635581373,0.39594133101189893,0.3255466892686845,0,0,0.0,0.0,1,,,UPWARD-TREND,NOT FINDED,,0.0006,0,0,0,0,0.0,0,0.0
33,177.062,177.025,177.058,177.029,291,33,177.02462213947055,177.02462213947055,177.02462213947055,177.02462213947055,177.02462213947055,52.23054243733719,0.5065027500565229,0.38818853015345695,0,0,0.0,0.0,1,,,UPWARD-TREND,NOT FINDED,,0.0006,0,0,0,0,0.0,0,0.0
34,177.066,177.034,177.037,177.058,358,34,177.02500036886494,177.02500036886494,177.02500036886494,177.02500036886494,177.02500036886494,48.38155819152666,0.5410810100579314,0.4817392616645519,0,0,0.0,0.0,1,,,UPWARD-TREND,NOT FINDED,,0.0006,0,0,0,0,0.0,0,0.0
35,177.057,177.025,177.046,177.038,278,35,177.02562544791388,177.02562544791388,177.02562544791388,177.02562544791388,177.02562544791388,50.07106647368153,0.5931311428357082,0.5474181621280846,0,0,0.0,0.0,1,,,UPWARD-TREND,NOT FINDED,,0.0006,0,0,0,0,0.0,0,0.0
36,177.068,177.044,177.064,177.046,231,36,177.0267390110217,177.0267390110217,177.0267390110217,177.0267390110217,177.0267390110217,53.34342942500285,0.667376740992016,0.6010107981671178,0,0,0.0,0.0,1,,,UPWARD-TREND,NOT FINDED,,0.0006,0,0,0,0,0.0,0,0.0
37,177.084,177.052,177.082,177.064,201,37,177.02830343757594,177.02830343757594,177.02830343757594,177.02830343757594,177.02830343757594,56.40476819755584,0.7280338023830522,0.6632903475973123,0,0,0.0,0.0,1,,,UPWARD-TREND,NOT FINDED,,0.0006,0,0,0,0,0.0,0,0.0
38,177.119,177.081,177.112,177.082,285,38,177.03061661764522,177.03061661764522,177.03061661764522,177.03061661764522,177.03061661764522,60.97702794498865,0.7776026232512312,0.7247332649094759,0,0,0.0,0.0,1,,1.0,UPWARD-TREND,NOT FINDED,0.1560000000000059,0.0006,1,0,0,0,0.0,0,0.0
39,177.113,177.092,177.105,177.112,280,39,177.03262491532138,177.03262491532138,177.03262491532138,177.03262491532138,177.03262491532138,59.419062897639094,0.8077510589101128,0.7714714134511999,0,0,0.0,0.0,1,,,UPWARD-TREND,NOT FINDED,0.1560000000000059,0.0006,1,0,0,0,0.0,0,0.0
40,177.105,177.05,177.051,177.104,230,40,177.03310987183318,177.03310987183318,177.03310987183318,177.03310987183318,177.03310987183318,49.05886804007592,0.752445477060381,0.7795358675384604,0,0,0.0,0.0,1,,,UPWARD-TREND,NOT FINDED,0.1560000000000059,0.0006,1,0,0,0,0.0,0,0.0
41,177.065,177.048,177.058,177.051,186,41,177.0337523815729,177.0337523815729,177.0337523815729,177.0337523815729,177.0337523815729,50.26331171036395,0.680476512266037,0.7470889328556193,0,0,0.0,0.0,1,,,UPWARD-TREND,NOT FINDED,0.1560000000000059,0.0006,1,0,0,0,0.0,0,0.0
42,177.058,177.041,177.046,177.058,156,42,177.03406178780477,177.03406178780477,177.03406178780477,177.03406178780477,177.03406178780477,48.17135268606323,0.5784606307945579,0.6705973302550525,0,0,0.0,0.0,1,,,UPWARD-TREND,NOT FINDED,0.1560000000000059,0.0006,1,0,0,0,0.0,0,0.0
43,177.054,177.034,177.041,177.046,223,43,177.03423341423917,177.03423341423917,177.03423341423917,177.03423341423917,177.03423341423917,47.29263857492975,0.482897820121738,0.5807009999427081,0,0,0.0,0.0,1,,,UPWARD-TREND,NOT FINDED,0.1560000000000059,0.0006,1,0,0,0,0.0,0,0.0
44,177.052,177.017,177.019,177.042,225,44,177.0338642523565,177.0338642523565,177.0338642523565,177.0338642523565,177.0338642523565,43.54773825194543,0.39503418361087445,0.485520430759938,0,0,0.0,0.0,1,,,UPWARD-TREND,NOT FINDED,0.1560000000000059,0.0006,1,0,0,0,0.0,0,0.0
45,177.032,177.005,177.005,177.019,283,45,177.0331786428156,177.0331786428156,177.0331786428156,177.0331786428156,177.0331786428156,41.31702211742689,0.3231669342527503,0.40040049354351276,0,0,0.0,0.0,1,,,UPWARD-TREND,NOT FINDED,0.1560000000000059,0.0006,1,0,0,0,0.0,0,0.0
46,177.011,176.995,177.0,177.005,305,46,177.03240582556123,177.03240582556123,177.03240582556123,177.03240582556123,177.03240582556123,40.5227258026901,0.26438063048172966,0.3275473102042122,0,0,0.0,0.0,1,,,UPWARD-TREND,NOT FINDED,0.1560000000000059,0.0006,1,0,0,0,0.0,0,0.0
47,177.003,176.979,176.986,177.001,274,47,177.0313453799043,177.0313453799043,177.0313453799043,177.0313453799043,177.0313453799043,38.313083884461726,0.2162922301446311,0.2679577222757488,0,0,0.0,0.0,1,,,UPWARD-TREND,NOT FINDED,0.1560000000000059,0.0006,1,0,0,0,0.0,0,0.0
48,176.997,176.977,176.981,176.985,176,48,177.0302162049997,177.0302162049997,177.0302162049997,177.0302162049997,177.0302162049997,37.530002262242576,0.17695352278310375,0.21921435657245866,0,0,0.0,0.0,1,,,UPWARD-TREND,NOT FINDED,0.1560000000000059,0.0006,1,0,0,0,0.0,0,0.0
49,177.0,176.979,176.992,176.981,309,49,177.02937458669192,177.02937458669192,177.02937458669192,177.02937458669192,177.02937458669192,40.401327649442756,0.17075252404731686,0.1880027511765375,0,0,0.0,0.0,1,,,UPWARD-TREND,NOT FINDED,0.1560000000000059,0.0006,1,0,0,0,0.0,0,0.0
50,177.003,176.987,177.001,176.992,188,50,177.0287607733047,177.0287607733047,177.0287607733047,177.0287607733047,177.0287607733047,42.70969591751812,0.18693565033245696,0.17821707953290367,0,0,0.0,0.0,1,,,UPWARD-TREND,NOT FINDED,0.1560000000000059,0.0006,1,0,0,0,0.0,0,0.0
51,177.002,176.975,176.98,177.001,241,51,177.02772424057866,177.02772424057866,177.02772424057866,177.02772424057866,177.02772424057866,38.93922320080038,0.15294126962800872,0.17021167767033782,0,0,0.0,0.0,1,,,UPWARD-TREND,NOT FINDED,0.1560000000000059,0.0006,1,0,0,0,0.0,0,0.0
52,177.002,176.977,176.994,176.98,178,52,177.02701951457232,177.02701951457232,177.02701951457232,177.02701951457232,177.02701951457232,42.561207700599006,0.16686456677192954,0.16891523808643955,0,0,0.0,0.0,1,,,UPWARD-TREND,NOT FINDED,0.1560000000000059,0.0006,1,0,0,0,0.0,0,0.0
53,177.016,176.988,176.999,176.995,213,53,177.02644373205982,177.02644373205982,177.02644373205982,177.02644373205982,177.02644373205982,43.83602311593517,0.2251106176373771,0.181641270153525,0,0,0.0,0.0,1,,,UPWARD-TREND,NOT FINDED,0.1560000000000059,0.0006,1,0,0,0,0.0,0,0.0
